Overall Market Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Sales,Avg Sales Price,Median Sales Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98119,184,"768,230.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98122,289,"611,431.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98125,410,"462,330.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98126,354,"424,734.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98133,494,"386,997.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98136,263,"540,466.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98144,343,"550,828.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98146,288,"357,023.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98148,57,"284,908.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98155,446,"409,874.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98166,253,"447,944.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98168,269,"240,328.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98177,255,"618,967.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98178,262,"308,435.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98188,136,"289,078.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98198,280,"301,750.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98199,317,"733,643.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,21607,"511,627.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price By Zipcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVERAGE of sale_price,waterfront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipcode,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98001,"280,804.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98002,"234,284.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98003,"294,111.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98004,"986,516.63","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98005,"780,903.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98006,"774,231.38","1,097,181.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98007,"614,405.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98008,"576,676.60","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98010,"423,665.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98011,"490,377.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98014,"443,510.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98019,"424,815.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98022,"315,709.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98023,"283,367.89","671,643.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98024,"538,132.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98027,"593,413.25","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98028,"458,234.61","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98029,"602,663.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98030,"296,187.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98031,"300,539.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98032,"251,296.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98033,"725,205.86","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98034,"489,813.72","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98038,"366,416.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98039,"1,101,565.82","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98040,"954,665.71","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98042,"311,632.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98045,"434,164.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98052,"637,560.05","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98053,"660,792.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98055,"304,262.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98056,"407,155.24","1,129,575.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98058,"352,782.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98059,"487,862.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98065,"525,140.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98070,"457,810.68","584,068.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98072,"565,409.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
